Comment,Hate,clean_comment,Tokens,Length
"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",no,knowing ki vikas kitna samjhata hai priyanka aur itch guard luv ko usne bola tha ben wali baat ab sallu ne bhi agree kiya,"['knowing', 'ki', 'vikas', 'kitna', 'samjhata', 'hai', 'priyanka', 'aur', 'itch', 'guard', 'luv', 'ko', 'usne', 'bola', 'tha', 'ben', 'wali', 'baat', 'ab', 'sallu', 'ne', 'bhi', 'agree', 'kiya']",24
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,no,muhajir aur mere lye sab se pehly pakistan agr lakh altaf jese leaders bh zameen ki behurmati kren un sbko sar e aam phansi deni chahye proud muhajir pakistani,"['muhajir', 'aur', 'mere', 'lye', 'sab', 'se', 'pehly', 'pakistan', 'agr', 'lakh', 'altaf', 'jese', 'leaders', 'bh', 'zameen', 'ki', 'behurmati', 'kren', 'un', 'sbko', 'sar', 'e', 'aam', 'phansi', 'deni', 'chahye', 'proud', 'muhajir', 'pakistani']",29
"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",no,doctor sab sahi ke phd hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling khelo aur maje lo pictwittercomfkqubqstw,"['doctor', 'sab', 'sahi', 'ke', 'phd', 'hate', 'politics', 'wale', 'bhai', 'padhe', 'likhe', 'ho', 'fir', 'kyu', 'ye', 'sab', 'baate', 'karte', 'ho', 'tum', 'bas', 'bowling', 'khelo', 'aur', 'maje', 'lo', 'pictwittercomfkqubqstw']",27
"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",no,poore desh patel obc aate hain sirf gujrat ko chor kar may ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye jis obc ko mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain,"['poore', 'desh', 'patel', 'obc', 'aate', 'hain', 'sirf', 'gujrat', 'ko', 'chor', 'kar', 'may', 'ye', 'manuwadiyon', 'bramanwadi', 'kabhi', 'aapko', 'aarackchan', 'nahi', 'denge', 'ye', 'jis', 'obc', 'ko', 'mila', 'hai', 'usse', 'bhi', 'nafrat', 'karte', 'hain', 'ye', 'khoon', 'aur', 'chamdi', 'ka', 'frak', 'karne', 'waale', 'bharmhanwadi', 'kisi', 'ke', 'sage', 'nahi', 'hain']",45
"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",yes,sarkar banne ke bad hindu hit ek bhi faisla jo bjp ke dwara liya gaya hobjp ko gaygobarmandirmasjid aur nafrat faila kar vot chahiye,"['sarkar', 'banne', 'ke', 'bad', 'hindu', 'hit', 'ek', 'bhi', 'faisla', 'jo', 'bjp', 'ke', 'dwara', 'liya', 'gaya', 'hobjp', 'ko', 'gaygobarmandirmasjid', 'aur', 'nafrat', 'faila', 'kar', 'vot', 'chahiye']",24
Hate it jab test ata ho phr bh acha na ho -.-,yes,hate jab test ata ho phr bh acha na ho,"['hate', 'jab', 'test', 'ata', 'ho', 'phr', 'bh', 'acha', 'na', 'ho']",10
Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,no,ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing two legs rape honge justified due cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam,"['ek', 'dil', 'ek', 'jaan', 'akal', 'ke', 'imitihaan', 'kal', 'kp', 'ke', 'rape', 'aur', 'sawing', 'two', 'legs', 'rape', 'honge', 'justified', 'due', 'cinematic', 'liberty', 'aaj', 'toh', 'rajput', 'ki', 'ho', 'gayi', 'shaan', 'urdu', 'ki', 'gulaam']",31
Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,yes,aise logo se sakht nafrat karta hu jo caste ko naam ke sath jod ke chaude hote h real vo piddu hote h,"['aise', 'logo', 'se', 'sakht', 'nafrat', 'karta', 'hu', 'jo', 'caste', 'ko', 'naam', 'ke', 'sath', 'jod', 'ke', 'chaude', 'hote', 'h', 'real', 'vo', 'piddu', 'hote', 'h']",23
"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",yes,sir jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de yaa phir kabootar udao jawab sirf goliyon se milega,"['sir', 'jyada', 'sentimental', 'mat', 'ho', 'jao', 'peene', 'ke', 'baadjiss', 'desh', 'ki', 'buniyad', 'sirf', 'hindu', 'hatred', 'pe', 'hui', 'ho', 'woh', 'kabhi', 'nahi', 'sudrega', 'aap', 'pok', 'de', 'yaa', 'phir', 'kabootar', 'udao', 'jawab', 'sirf', 'goliyon', 'se', 'milega']",34
I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,no,sorry say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,"['sorry', 'say', 'saaf', 'dil', 'shilpa', 'ke', 'fans', 'hiten', 'ke', 'dil', 'mein', 'kya', 'hai', 'woh', 'bhi', 'samjhte', 'hain', 'hadh', 'hoti', 'hai', 'nafrat', 'ki', 'bhi']",23
"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",no,madambahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada bibiyabachche k safar tai karte huey tajmahal p jake atka hai,"['madambahut', 'sochsamajhkr', 'mai', 'ess', 'tarq', 'pe', 'pureymahino', 'mei', 'pahucha', 'hoon', 'k', 'asli', 'wajah', 'muslim', 'hatredhai', 'jo', 'kabipartitionramtemplegaumatabharatmaatakijai', 'vandematram', 'raastragan', 'pak', 'premigaddaarbachche', 'jyada', 'bibiyabachche', 'k', 'safar', 'tai', 'karte', 'huey', 'tajmahal', 'p', 'jake', 'atka', 'hai']",33
I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,yes,hate sapna yaar coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru dheere se chalao …,"['hate', 'sapna', 'yaar', 'coz', 'khud', 'ko', 'toh', 'chalana', 'aati', 'nae', 'aur', 'hum', 'agar', 'tez', 'chalaenge', 'toh', 'tokna', 'shru', 'dheere', 'se', 'chalao', '…']",22
"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",no,ha rem emoji hate emoji mujhe nagini ki hi yaad aati hai,"['ha', 'rem', 'emoji', 'hate', 'emoji', 'mujhe', 'nagini', 'ki', 'hi', 'yaad', 'aati', 'hai']",12
Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,yes,hate heena much irritating n bat karne ka tamiz nhi hai unmesab ko insult karna ati hai unkobas aur kuch nhi ati haibohot insecure hai wo ladki,"['hate', 'heena', 'much', 'irritating', 'n', 'bat', 'karne', 'ka', 'tamiz', 'nhi', 'hai', 'unmesab', 'ko', 'insult', 'karna', 'ati', 'hai', 'unkobas', 'aur', 'kuch', 'nhi', 'ati', 'haibohot', 'insecure', 'hai', 'wo', 'ladki']",27
Sir apki fav kon hai iss seasn mai??,no,sir apki fav kon hai iss seasn mai,"['sir', 'apki', 'fav', 'kon', 'hai', 'iss', 'seasn', 'mai']",8
Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,no,mehanat school copy karke likhne b lagti hai fir illegal kyu atanki ko b lagti hai fir nafrat kyu paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap,"['mehanat', 'school', 'copy', 'karke', 'likhne', 'b', 'lagti', 'hai', 'fir', 'illegal', 'kyu', 'atanki', 'ko', 'b', 'lagti', 'hai', 'fir', 'nafrat', 'kyu', 'paise', 'lekar', 'ghar', 'ki', 'aurato', 'ka', 'smman', 'bech', 'doge', 'kya', 'paise', 'aur', 'mehanat', 'ke', 'liye', 'aap']",35
