text,label
kha mara ha ajkl 🙄,0.0
rt : salgay hijra  namard salman khan,0.0
where are you    ?? sharam nhi ati ya guts hi nhi hain ?? phattu saale. #jnuvioence  #jnuattacks,0.0
your tweet shows that qadianis are really kaafir,1.0
charsi gaffora fir aa gaya yahan muh se tatti karne 🤣🤣🤣,0.0
rt :  abe jaa na bhadwe 2 mla leke randi rona kr raha,0.0
"not surprised comment came from ahmedi. tbh, i won't be surprised when some christians will argue that they r included in muslim category too. just bcoz they believe there is only one god.",0.0
"we should start within our home pakistan first.everyone know ahmedis are nonmuslims.all non muslims like hindus, christians and ahmedis should be given freedom to practice their i am also against burning of ahmedi temples.",1.0
 pr ye h kn😂,1.0
 hahaha pehli dfaa ciggerate peete dekha kissi ko😂,1.0
do you eat badam and akhrot how has that affected you.,1.0
 yr  what iz this behavior?? mtlb k itni insult animals ke ufffff wajiiii ye umeed na the tm se💔💔😂😂😂,1.0
"paras act like hijra in the house very insecure person whenever wild card entry he try wash there brain hijra sala and reshmi ke pass mudha hi nahi hai sid ko chod ke,,,  ankh,kan thik se kohl ke bigboss dekho bewakoof aurat dimag to hat hi nahi kuch bhi likh raha ha",0.0
jo jo dil huwa kha lejeye ga...don't worry me apka bhai kanjos ni...😂,1.0
kitna paisa hai logon k pass bhenchod. sirf 24 ghanttay main 38 billion dollars ki shopping ker li logon ne. sirf ali express se.,0.0
my irl is pissed bc i wont give her my twitter its for your own best sis trust me,1.0
sun bc... akshay tumhara baap h... or rahi baat in bollywood ki randiyo ki... unpe kal bhi thookta tha aaj bhi thookta hu...,0.0
aby akhrot 😂😂😂😂😂,0.0
dembele rundi ka bacha,0.0
saleem safi tu planet ka sab sy bada bhenchod zalil namakharam begairat harami hai,0.0
ye kuch xiada he nhi kr di doll ny...koi nhi mera dialogue tha tm ny keh dia its okey...bary he hamesha chotoun ko mauf krty hain..nxt time??i wil see u,1.0
guys make it trend bcz hmry pakistani frnds ko hmri zroorat hy or social media kch b krwa skta phr chahy wo acha kam ho ya bura tw plzz is ek achy kam ka hissa bn jay   ,1.0
hmara ek heater chala k b knsa kamm agia bill! wse e lutt mchi v h mulk m,1.0
   bhonk mat nikal yahan se,0.0
hn na bas dekh lo,1.0
 aap ki bhi alag he dunya hai,1.0
 do you someone name shahid afridi okk ashwin to yaad hoga na,1.0
  koi proof nahi sir,1.0
tumhara kia pata tum kis maal pe paley ho..or tumhari zehni haalat yeh hai k europe mai aida hone waley har insan ko yahoodi samajhtey ho..jahil admi uslam sirf akistan mai nahi puri dunya mai hai,0.0
chhee kitni gandi shakal 🤮🤮🤮🤣🤣😂 bhakkk randi saali jisko manti hai usse to dar,0.0
 matlab k unfollow kar dayna. 😂,1.0
"apko kehna chahye tha na mard hoon, na aurat hoo. main hijra hoon main hijra hoon, main parchi hoon, main defected hoon, main accidental chairman hoon.  #joker420",0.0
marketing ke alawa kuch bhi nahi chal raha hai iss desh me! sab ko apni apni chalaani hai bhenchod.,0.0
 pyr ka red ink se kya link,1.0
me  19 having hangovers from excessive drinking: no problemo me seeing a 19yo drink nowadays: oyeee insan ban bhenchod marna hai?,0.0
itne time se kis page per baat ho rahi bakwash kerne se pehle check karo kutch to chaat hi rahe ho khon ek side ko her galti ke liye bhi sahi keh raha hai .. ek baar bhi momta ke against khon nahi bola .,0.0
  achaw bhaya cigrate churwany wala charus pe lga gya😛,1.0
bc bhaar mein ja 🙊💃😂,0.0
mela bacha akhrot ki shkl wala chilgozy khai ga hayee🙈🙈😍😂😂😂😂,1.0
ab yeh tu kisi kitab me ni likha😅,1.0
rt : bhenchod hyderabad ki taraf mat aao. g maar dunga sabki. apna ye bc north main hi rakho,0.0
jab naayi apkay baalon main kanchee phairta hai aik alag hi satisfaction hoti hai,1.0
"swara, ko randi kehna unn hajaro orton ka apman hai jo ye kaam mamboori mein karti hain",1.0
"rt : randi hu kothe pr milna  jagte raho   ""namard salman khan"" ",0.0
hum to jo ticket krwaey cancel ho jati. moin ny badua de hoi. moin mara ga tu hi phele yd rkhen😂😂😂,0.0
"jinko aap qadiani keh rahay hou wo ahmedi hee hain. constitution may kar diya naa non-muslims aur kya karen? aap bilkul bbi tolerance ki baat nai kar saktay aur logon ka humare liye jab aap khud kisi ka mazhab ki bunyaad par jeena haram kar rahay hou,",1.0
its equally painful when he is labelled gustakh e rasool/yahoodi agent/kashmir ko bechnay wala and what not for 2 continous weeks yet didnt saw u r single tweet where u felt such embarassment,1.0
han na 500 mein bc kya kya ho jata ha😂,0.0
yes.. pta nhi bc sidnaaz ka drama kyu ni khtm kr rhe ye log  #nomoresidnaaz,0.0
 matlb wkw mei ye sab b hon gy omg in sab ko jheelna bht mushkle yr kb jain gy ye itny log ufff  #sidharthshukia #aslifans #bb13onvoot,1.0
bund garden and bhosari are places🤪,1.0
waada to shayad 15 lakh ka bhi kara tha mota bhai,1.0
waah bhenchod...ye log apna point prove karne ke liye kuch bhi kar sakte hain bkl,0.0
  ab kia h kr tu dia howa unblock 😏,1.0
"i don’t prefer ice-cream in winter. i crave all those exquisite meethas (at least for me) like eth’s bread-pudding, purani anarkali ki jalebi, sulaiman’s akhrot ka halwa (from gujranwala), sheeray walay gulab jamun, sweet affairs’ cookie skillet, amma’s gajar ka halwa...",1.0
"yeh wesy koi bht e zyda ounchi nasal ki randi niqli h wesy , mtlb i can't even imagine koi bughaz or paisy k pechay itna b girr skta h, nehayat e nichly darjay ki baighairat aurat ho, aurat zaat ko b badnaam kea h isny apny wajood sy !! akhh thooo iski zaat pay",1.0
aakhir ye kab-tak  hijday randiyow ki maan-maani  yahi sab sikhatye hai aur yahi sab sikhtye hai kya is jnu may  ager ye gandi nasal aaise hai tho inkye maa-baap pakkye hira-mandi kye bhadway aur randi hogye,0.0
rt : khuda maut de tjhe bharwe! lash bhi na milay teri chotiay,1.0
 umar fukriyan word punjabi people use karte hai .kabhi kabhi muze lagta hai tum dono brothers punjab se  hi ho.,1.0
 is ne is tweet pe kitne dollor lagaye hoo ge? ,1.0
 degree kis kam ki...humary pas koi nokarya nahi hai..hasi khushi ki zindagi sirf khahanyo mein hotii hai..tabdeeli😄😄😄,1.0
nahi main just pocha hai k ye log jo b karty hain wo thek lekin awam k leye wabhal.jaisa k anp waly election se pehly kafir ab in k bhai???jab imran ne molana sab ko i think senat ka vote diya tab imran khan farishta or ab molana sab k siyasat hatam tu yahodi agent,1.0
ye hey vo #auratmarch aur ye hey #merajismmerimarzi 🇵🇰👍🏼❤  main is #auratmarch ko support karta houn aur apni behno ko salam pesh karta houn,1.0
muh se mugfalli toot-ti nahi  g**nd se akhrot todne ki khwahishe   #endsemexams,1.0
 mujhe tm par fakhr h tumhe main bohat bohat pasnd karta ho i really like you agr meri baat achi lage to reply karna,1.0
   mjy pata ha i'm ur siso❤,1.0
 real aurat march 😍😍,1.0
"turmari ma ki chute, tumarra baharat matha chaud ki rakhu ga...tumarra saare chutia dur ki baagtehai...ahoo tume subko seekaiou #india tarri hai...#baharatmahaan rundi jaat bohot passa hai....lols",0.0
" thanku so much nadia jamil sahiba ap meri favourite actress hn jo k aik imp cause k lie kam kr rhi hn, allah apko is me kamiyab kre, ameen.",1.0
jab hindu aur sikh ko maar maar ke convert karte ho pakistan mein tab yeh achhey khyaal kaha jaate hain?  dr. nimrat was raped amd murdered in pakistan recently.  your govt. tried to pass it off as a suicide..  practise what you preach and stop blowing up ahmadiya mosques for fun,1.0
windows 7 is dead|apka computer khatray main hai in urdu/hindi.,1.0
"yani baar bar phatak bund ho ga?? dear commissioner sb city my gondlawala, sheranwala aur sialkot phatak py underpass ka mansoba ka kia bna.. city ko 2 lukht kyu kia hua. sari traffic inhi 3 points py hy",1.0
yahoodis on top and no muslim country in 10 top.  yahoodi sazish sy darny walo ko apni jahalat sy drna chaheyey 😷,1.0
 apne kaam se kaaam zyada bhdwa mat ban bjp ke kutte,0.0
kaisa harami paya gya hai bhenchod yahoodi,0.0
 bachy ap k din nazdeek aein hai naah😂😂,1.0
 jaha pai tag kro vo video plzz koi   jaha arshi wali krio #mahirakapappuparas,1.0
bhenchod sudhar ja😂😑🖐,0.0
"ye konsay ahmaq log hain....,2018-05-14 15:52:49,islamabad, pakistan",0.0
 mere jesy ban'na v mat😂😂 parhai sy bilkul door ho jao gi😁😂,1.0
ye bat adlt me khyn ja kar...  ta k unhy pata chaly,1.0
g bilkul laanat ho aesi kartuton par..!! this is clear violation of military sops. budhhay ko sharam karni chahiye thori si..!,0.0
bhosari ke tere paas paisa hai toh tu bhi kar,0.0
"a wise man once said: ""ik din tu na milega, tera naam phir bhi rahega"" 😭😭😭😭",1.0
depression sy azadi dalwao yaa apni bhen naa yawao,1.0
",salla, madar chod, randi ki aulad, bastard u & your corrupt congress party, & nakli gandhi’s destroyed this country & now blames modiji bastard tu salla kutta mar bhen chod.",0.0
asimsuar ney sub kuch start keya.  oss ko support kerney walee rundi desai ha,0.0
"yups, moreover rumors are he is ahmedi.,2019-11-19 03:10:16",0.0
 ary kehny ka mtlb bht umdaa tha👏,1.0
 ye b talent h 😂,1.0
  and 13 means 1pm afternoon and 10 means 10pm night  it's means vishal ko jyada tym mila hai,1.0
seriously thinking about hijra,1.0
"randiyo se bhi nichle darze ki aurat,",0.0
 mn ik ki hamesha izzat karti rahi...lkin yha baat kirdar ki hay e nahi ...warna to mn vo kuchh batau k ap kano ko hath lagaty reh jaen,1.0
kya aap ki twich me keera 😅 (2),0.0
rt : bhenchod is uber captain ka to right left hi kharab hai.,0.0
 batein suni jati hain zaira 😔 dekhta kon hai,1.0
abbay buddhay teray baap ki jaageer hai ya maa ki raato ki kamai hai ? hain randi ?,1.0
teri maa ki choot daly dabu zulfi bukhari ka naam ecl sy1 ghanty ma nikalwa lia tha us sy to koi guarantee ni li gae thi.bhen chodo awam ko chutiya banaya hua hai.kanjro,0.0
"  😑😑😑😑😑  stop it chutku, i iz bari jitna marzi drama kar lo, sach nae badl sakta, u have to respect me 🌚🌚😂😂😂😂",1.0
yeh to tm nay buhat ache baat kahe. wese aj kal wale situation bhe maqafat e amal hy😂.. kaya tha na jo bhe imran khan ka naam ly ga woh yahodi😄,1.0
 aisi bat ko mian kbi farz ni krta 😍😍,1.0
hijra they call it,1.0
or tujhe kothe ki randi bna diya jaye,0.0
 multan se laanat bhej rha hn.  tumhary next tweet pe phr se bheju ga.   jab tak zinda hn tab tak bheju ga haraami journalist soor ka bacha 🐷,0.0
bsharam aurat,0.0
laanat aap py.. n league bht pehle surrender kr gyi thi kis khayal mai ho bibi... lifafa band ho jaye tou bhonkna banta hi hai,0.0
 mujhy b koi chayea. bcoz ma khud 4 bjy sota ho,1.0
han apny tw dia tha yad ha mjhy,1.0
rt : kia ghasti ka jism ha,0.0
bhenchod insta dp chura liya mera gandu 😠,0.0
"you are absolutely right, bc ki bachi kutya ha yeh.",0.0
 ye akhrot pagal o gaya hai 😂,0.0
 kisi tesray ki zarorat nhi hai..🤣🤣,1.0
g bilkul aap nay kitna dam fund ma hisa dala tha mohtarma,1.0
faasla rakhein baad main aapko same feel nahi hota.😒💔,1.0
"so bilowal calling him beghairat,all those mullah brigades called him qadiyani, yahoodi talking abt hiswife, who has nothing to do with politics, is justified but he cant say anything?? what a logic.he can do and say whatever the fuck he want to. he is pm. u r nothing but a zero",1.0
it's one shameless govt that only knows how to lie. sahiwal qasur sindh conversions ahmedi persecution anti jewish rants by state ministers the whole set up of the shoddy govt deserves one huge slap on their ugly and dirty lying faces,1.0
i also wish the western transgender movement stopped cultural appropriation of the terms cd and hijra from my culture. they are not the same thing! this is what causes #peaktrans for me,1.0
"hath dhou raha tha, sink se cockroach bahir aya tou maine pani daal k wapis gira diya.  cockroach: bharwe poore 5 ghante lagey they oper charhne mei.",0.0
launda phaans liya randi,0.0
aaj kal woh mirasi bun ker razaii mein so ry 😂😂,0.0
  apa ka moid swing hota rehta 😔😔😔,1.0
finally bajwa is caught with his pants down...bajwa is an ahmadiya.,0.0
bharwe hain dallay,0.0
muje yaad ha zara zara tumhe yaad ho k na yaad ho,1.0
randi hai saali,0.0
what the hell 😡😠😠 tu bi us ghashti bhenr chod begairat aurat ki baton me a gaya,0.0
i am un following u now. bhenchod kuch bhi mat likho. ya toh khud ka handle alag banaao. yeh,0.0
us sy acha to  ny ga lana tha🤨,1.0
pehle jitni bhi extension huwi he wo bhi pm aur president ne ki he os waqat shetan judges kahan mur gae they jo ab dushman india aur yahoodi lobby ko ye harami judges apni chhuti walay din bhi adalaten laga rahey hen. garib awam ka court matter hal nahi ker saktay aur dewar bngae,0.0
"my ex just posted ""i love pakistan bcs everyone has freedom here!"" bhenchod how can you say that after knowing me who is restricted by this stupid country in every form thank god i dumped him fucking imbecile",0.0
🤣😂😝😝😝 akhrot baney moongfali.,1.0
imran niazi aik mirrassi hay. drama baz yahodi agents both are bajwa and imran destroy pakistan ajenda khosa sahoolat kaar and naibe chore javed pco musharaf chamcha javed bagairat sahoolat kaar pti. failed govt. kunjer logown ka akath hay pti. gaddar watan farowsh imran.,0.0
firdus beghairt ki bachii,0.0
tu hi accept kar liya ki tu hijra hai 😊😉🥴😜😅,0.0
yahoodi aor masehi dono ki alag alag baible hai,1.0
 agar aaj se 40 saal pehley isi tarha ke banner pakarh kar mera jism meri marzi waala naara aapki amma ne maara hota to aap is duniya main ye tweet karney ke liye maujood hi na hoteen 😑😑😑,0.0
foreign dramas: story plot narrative moral character development intriguing situations  pakistani dramas: randi rona randi rona randi rona randi rona randi rona  mazeed randi rona,0.0
kuch loog dekh rhy 🤫🤫🤫🤫🤫,1.0
tere niki bhen to is wqt b mary pas bthe hy bhen chod daly,0.0
"ishko seedha jannat bhejo, allah ka order hai. bahanchod",0.0
soory guys intract nahy kiya 2 din coz i was busy as hell somewhere 😔.,1.0
rt : beghairt admi tumharay baap ka paisa ha jo bhool jaien!,0.0
😂😂😂😅talent ha bruhh,1.0
 ye bhi puchne ki baat hai,1.0
be ye handsome h akhrot si shakal ka 😂😂,0.0
"yaar dekho milad krna hai karo, galiya sjani hai sajao lekn hr chezz ki limit hoti hai yawr ab ye log gali me bethy full buffer scene on kiya huwa 'sarkar ki amad mrhaba' abby bhenchod raat ky 11 bj rahy dosrun ky sakon ki gand marna bnd kro",0.0
dekho kutta bhaunk raha hai.,0.0
 nai ma na acha khana khaya ap khao,1.0
all haveeli ki rangeenian daikhnay ko bhi milain gi ya sirf chong chon ka muraba ho ga,1.0
ajeeb city hai ye b... hr jaga se pringles ka pta krwa lea nai mil ray💔,1.0
yar marjao tm please marja randi pls,0.0
  jaj sahib kal ap apni bhen beti ko salogan pakra kar march mai bhejna phr ap haq py faisla suna sako gy????,1.0
"bhai, main phele apke tms what's app group mien add that mobile reset kia hai tu group khatam ho gaya hai, plz add me again. my no. is:03007344748",1.0
